x,y,z,qx,qy,qz,qw,act1,act2
0.131003529,-0.035601359,1.195307493,0.0557332,-0.013807721,-0.256170124,0.964924872,0.005156773247364854,-0.0006036082746027072
0.126334012,0.06090856,1.221111655,0.292149246,0.05665537,-0.253564775,0.920404196,0.0027803632858094396,0.008975084801557287
0.147345468,0.140255302,1.27171278,0.506452441,0.077840164,-0.228592694,0.827763379,0.034514954228372696,0.00856994033669678
0.145476758,0.152213112,1.280805111,0.532339513,0.085182026,-0.223004073,0.812174797,0.03688036314362114,0.01088492166501659
0.144587383,0.119130567,1.260907888,0.494647831,0.071496695,-0.229523629,0.835182965,0.018234834504007702,0.007697232594569503
0.141285926,-0.045906045,1.195076585,0.021659372,-0.021823155,-0.266156852,0.963439286,0.0057981883886180086,-0.002520001198297095
0.10097716,-0.072424717,1.197605968,-0.044528484,0.012487119,-0.270173848,0.961700201,0.004576014589714905,0.0072558010186122845
0.127825707,0.069949463,1.226321816,0.327420682,0.068293892,-0.251862407,0.908128262,0.010926941985979766,0.009505059850488384
0.163374543,0.147054046,1.281965852,0.544523299,0.057626221,-0.224318311,0.806135774,0.054506653776452085,0.0044674813774098765
0.170704111,0.158648953,1.288868308,0.566909373,0.050369438,-0.219456241,0.792411268,0.05874910332218153,0.0027047235205248654
0.150230363,0.127491564,1.266982436,0.524982154,0.065805808,-0.225206032,0.81813544,0.03760737696535693,0.006303176277469069
0.123532094,-0.032852679,1.196689129,0.081178248,0.002642527,-0.267495543,0.960129797,0.0022497359362078084,0.004483316616222699
0.097121544,-0.124253079,1.205373168,-0.145662636,0.00631106,-0.264772445,0.953225136,-0.002167702887776901,0.003285178676942724
0.119374104,-0.074180566,1.199177623,-0.08882542,0.000417274,-0.268454492,0.959188163,0.01131936304071901,-8.91747843906332e-05
0.110730439,0.060999345,1.224388003,0.312161386,0.097386733,-0.247070059,0.91215539,0.004835495331169892,0.013194516952318491
0.160117269,0.134152532,1.27384758,0.529832542,0.05623772,-0.227845863,0.814985335,0.03727429364805146,0.0028885809056855005
0.17459181,0.12889564,1.272335529,0.531484306,0.03041655,-0.224988982,0.816075504,0.03782690479544126,-0.002159008986786115
0.13119933,0.004784431,1.204633951,0.193234846,0.020415837,-0.264031678,0.944738507,0.008842575160550759,0.004098137170020499
0.065898612,-0.143675834,1.216328502,-0.225383013,0.036625929,-0.259968996,0.938230872,-0.006439251289393599,0.011057998818030712
0.113489613,-0.10447374,1.204990029,-0.17172499,-0.001914995,-0.265604347,0.948662817,0.012292275963314392,-0.0027801698275265463
0.159241691,-0.009763028,1.197850704,0.104804419,-0.027501317,-0.265673071,0.957954884,0.017986045537588702,-0.003916691637454672
0.138623163,0.108548403,1.26230669,0.497588307,0.08160045,-0.231483147,0.831963241,0.03265319404025341,0.009357583176220485
0.248941705,-0.065719135,1.233294964,0.0571809,-0.332966238,-0.254832625,0.906048656,0.0,0.0
0.283279866,-0.071230724,1.257160783,0.05354169,-0.441421241,-0.240352631,0.862850606,0.005914486222905302,-0.002184664775893852
0.247980744,-0.062111188,1.241828799,0.061863322,-0.397639632,-0.242209896,0.882830739,0.013961096865781453,0.006282971086436162
0.197899103,-0.051849786,1.209912419,0.053975295,-0.205347002,-0.264200181,0.940806806,0.01386545281549284,0.0022271719106085053
0.069631897,-0.025529215,1.19901073,0.020792414,0.12753436,-0.27029863,0.954065681,0.0016612186424164732,-0.008759865902322028
0.082098924,-0.029004276,1.197852015,0.023009501,0.118811563,-0.270265251,0.955149829,0.0020251518389023393,-0.01369441587051412
0.211554602,-0.053905424,1.214833736,0.05829294,-0.233581111,-0.262492329,0.934419394,0.012382599354484825,0.0033341224633591793
0.262829781,-0.068318315,1.249006391,0.053130765,-0.422744542,-0.24055995,0.872121036,0.018827316755697265,0.005381772608682334
0.263265193,-0.068356499,1.24827683,0.05273243,-0.423108965,-0.240906343,0.871872842,0.018934760848086762,0.0036895843297363173
0.238870695,-0.061744951,1.231189489,0.062920958,-0.342641324,-0.250049025,0.903389931,0.006051211027765124,0.0030375520076302287
0.158070996,-0.044531431,1.199326992,0.045446306,-0.101648591,-0.269162387,0.956636727,0.003639340646403866,0.007281611448272107
0.109212726,-0.038216747,1.193570137,0.023820503,0.03456907,-0.274058878,0.960796237,-0.0025347193013571245,0.0036709026566501546
0.077176601,-0.031221835,1.197369337,0.017682593,0.107488662,-0.270443708,0.956553102,-0.003557699602029396,-0.0100651988581546
0.219014719,-0.052389413,1.218169928,0.062056195,-0.253210276,-0.260553122,0.929594338,0.004835926190553619,0.004015809200472176
0.271199763,-0.068989508,1.253895521,0.051262166,-0.439589649,-0.242978901,0.863188446,0.004863205709532303,0.006469930370563037
0.252155006,-0.067864537,1.244141102,0.050880935,-0.412255913,-0.242009759,0.876862228,0.003197254571949304,0.005980186299390455
0.230492473,-0.061962284,1.225667834,0.056414418,-0.313585788,-0.25660795,0.912487686,0.002995288563037213,0.0022591654708717934
0.095237471,-0.036728743,1.194450974,0.019950541,0.062284362,-0.272488803,0.959933579,-0.003736237397879816,-0.0023048908907638
0.087571077,-0.032096103,1.19575417,0.02031279,0.087061867,-0.271880537,0.958169341,-0.0028850327015910726,-0.011372377468551353
0.223266542,-0.054817069,1.220633388,0.059889276,-0.270854235,-0.260199398,0.924850047,0.0037941195520859727,0.004002421663868327
0.142799005,-0.032159075,1.195222855,0.050500065,-0.03133646,-0.270987868,0.960746229,0.0,0.0
0.142984554,-0.033294532,1.194779515,0.05188366,-0.024794724,-0.270619571,0.960967362,-0.0003074384002458297,-0.0014106511251371634
-0.038821764,-0.002151805,1.257985353,0.009878931,0.498466879,-0.237699732,0.833625793,-0.005746675019735192,0.008844710529376021
0.155886784,-0.040598068,1.197203398,0.04513504,-0.071538217,-0.26989314,0.959167778,-0.000668982609088431,-0.00924453873185116
0.04064763,-0.020071218,1.211719036,0.024473488,0.259048551,-0.258408278,0.930333316,1.7064792599497114e-05,-0.02945195922602828
-0.02041634,-0.007850698,1.243061423,0.006588466,0.440600634,-0.23867242,0.865368783,0.008080877611582826,0.0018342320969312875
0.162969679,-0.035936046,1.197661638,0.056548443,-0.089672074,-0.26935783,0.957187355,0.007596870839247871,-0.011933210772566372
0.079811715,-0.023524392,1.198997021,0.036209345,0.145401388,-0.267765671,0.951760948,0.006686680232886544,-0.02374731650815587
0.012899628,-0.01010392,1.220589995,0.034932461,0.321942091,-0.250056773,0.912471712,0.007911603165366599,-0.017527131117002215
0.161371499,-0.037844852,1.199733377,0.051437866,-0.104458824,-0.268226504,0.956293464,0.008827688742289674,6.30377300308016e-05
0.104199149,-0.02173169,1.19345808,0.054623455,0.070017606,-0.268945873,0.959052622,0.006640797817365984,-0.015651358497194012
0.021028055,-0.008692676,1.220397234,0.038202599,0.310350597,-0.256802738,0.914480984,0.009758487050077147,-0.024519662723800684
0.076285765,-0.192605868,1.245246768,-0.403889626,0.006559275,-0.254066616,0.878794789,0.0,0.0
0.083621658,-0.173403576,1.236598372,-0.380580276,0.000373781,-0.260741204,0.887227476,0.003522163678142176,-0.0007697448178120014
0.248409078,-0.109060228,1.240031838,-0.093074225,-0.339740694,-0.260921687,0.898795426,0.02177514305532452,0.0006780866473266034
0.226660401,-0.10285151,1.231967449,-0.058060933,-0.339038938,-0.251371175,0.904706597,0.019920493612334333,0.005052761644439074
0.075206295,-0.118524842,1.210199714,-0.212227523,0.039508503,-0.268907607,0.938662469,-0.001072588891203874,0.015266380922864087
0.056416474,-0.09166605,1.211058736,-0.139269486,0.166451573,-0.264787227,0.939566731,0.0001996116365179379,-0.033772670873955524
