case,actuation_pattern,del_x,del_y,del_z,del_qx,del_qy,del_qz,del_qw
7,"(0, 1, 1, 0)",-0.060413622,-0.131482218,-0.069274068,-0.374072746,0.011351317,-0.044522911,0.123372793
7,"(0, 1, 1, 0)",-0.01255028,-0.051959118,-0.029955149,-0.097362042,-0.005523435,-0.013462186,0.050178647
7,"(0, 1, 1, 0)",-0.019225553,-0.068018814,-0.039075017,-0.132067561,-0.022391088,-0.018679053,0.065545976
7,"(0, 1, 1, 0)",0.003974229,-0.145207122,-0.059697509,-0.346817389,-0.16385813,-0.028764755,0.124661684
7,"(0, 1, 1, 0)",-0.024762005,-0.172840714,-0.068723083,-0.456740502,-0.120163995,-0.038317472,0.13735646
7,"(0, 1, 1, 0)",-0.096256085,-0.165501282,-0.073117733,-0.492079163,0.047981255,-0.040840685,0.13069582
7,"(0, 1, 1, 0)",-0.078166552,-0.178074479,-0.075523735,-0.519432094,0.028787807,-0.041145772,0.1331321
7,"(0, 1, 1, 0)",-0.078014449,-0.159062207,-0.074371458,-0.476685155,0.045455255,-0.0413028,0.130392432
7,"(0, 1, 1, 0)",-0.031056971,-0.104439318,-0.052822829,-0.21555838,-0.017471019,-0.020552844,0.09666878
7,"(0, 1, 1, 0)",-0.015590296,-0.069196366,-0.042826057,-0.160048515,-0.018534362,-0.030479133,0.07261157
8,"(0, 1, 0, 1)",-0.030469656,0.003237896,0.000341534,-0.004929366,0.033171892,-0.00155139,0.000420153
8,"(0, 1, 0, 1)",-0.051220774,0.018073767,0.000374675,-0.002850151,0.129465349,-0.002606154,-0.004231632
8,"(0, 1, 0, 1)",-0.094175748,0.02959194,0.01217401,-0.008942086,0.260927998,0.004224062,-0.02347821
8,"(0, 1, 0, 1)",-0.154292747,0.043861352,0.036340713,-0.024034758,0.399704673,0.014198452,-0.064527512
8,"(0, 1, 0, 1)",-0.117170296,0.034938231,0.025847435,0.004429672,0.349462666,0.014686256,-0.045901776
8,"(0, 1, 0, 1)",-0.042054221,0.097457357,0.034783125,0.266553138,0.217475586,0.026182681,-0.054798067
8,"(0, 1, 0, 1)",-0.011089444,0.121727604,0.046709776,0.356640164,0.182380908,0.024921447,-0.084693194
8,"(0, 1, 0, 1)",-0.065729364,0.086745679,0.027103305,0.16915578,0.265799783,0.011100232,-0.044115603
8,"(0, 1, 0, 1)",-0.121547944,0.03549014,0.022214412,-0.004178127,0.325942733,0.005363524,-0.041421533
8,"(0, 1, 0, 1)",-0.049328848,-0.006467067,-0.000852227,-0.063296504,0.099919156,-0.001686931,-0.00163287
8,"(0, 1, 0, 1)",-0.009037733,-0.001807004,0.002339244,-0.0136018,-0.012419443,0.00537309,0.001797378
8,"(0, 1, 0, 1)",0.010493532,-0.010675579,0.004707575,-0.004239449,-0.053724289,0.004482835,-0.002056718
8,"(0, 1, 0, 1)",-0.056234672,-0.007708237,-1.49E-05,-0.065980103,0.095760551,-0.001539857,-0.001417041
8,"(0, 1, 0, 1)",-0.095226593,0.025876984,0.013157487,0.005083177,0.25356523,0.002232045,-0.02296573
8,"(0, 1, 0, 1)",-0.0016492,0.125749593,0.042545318,0.351261351,0.130827561,0.024004936,-0.075616062
